date,drink,eat,outside_in,outside_out,day_of_week,is_weekend,target_drink_tomorrow,target_eat_tomorrow
2025-09-14,7,3,1,1,6,1,7.0,4.0
2025-09-15,7,4,1,1,0,0,7.0,4.0
2025-09-16,7,4,1,1,1,0,8.0,4.0
2025-09-17,8,4,1,1,2,0,6.0,4.0
2025-09-18,6,4,1,1,3,0,8.0,4.0
2025-09-19,8,4,1,1,4,0,8.0,4.0
2025-09-20,8,4,1,1,5,1,1.0,0.0
2025-09-21,1,0,0,0,6,1,6.0,2.0
2025-10-01,6,2,1,1,2,0,6.0,2.0
2025-10-02,6,2,1,1,3,0,6.0,2.0
2025-10-03,6,2,1,1,4,0,6.0,2.0
2025-10-04,6,2,1,1,5,1,6.0,3.0
2025-10-05,6,3,1,1,6,1,6.0,2.0
2025-10-06,6,2,1,1,0,0,6.0,3.0
2025-10-07,6,3,1,1,1,0,6.0,2.0
2025-10-08,6,2,1,1,2,0,6.0,2.0
2025-10-09,6,2,1,1,3,0,6.0,4.0
2025-10-10,6,4,1,1,4,0,5.0,3.0
2025-10-21,5,3,1,1,1,0,5.0,3.0
2025-10-22,5,3,1,1,2,0,5.0,3.0
2025-10-23,5,3,1,1,3,0,5.0,3.0
2025-10-24,5,3,1,1,4,0,5.0,3.0
2025-10-25,5,3,1,1,5,1,5.0,3.0
2025-10-26,5,3,1,1,6,1,5.0,3.0
2025-10-27,5,3,1,1,0,0,5.0,3.0
2025-10-28,5,3,1,1,1,0,5.0,3.0
2025-10-29,5,3,1,1,2,0,5.0,3.0
